DISTRICT,DISTNAME,DPNT504C,DPNT504P,DPNTALLC,DPNTASIC,DPNTASIP,DPNTBLAC,DPNTBLAP,DPNTDSLC,DPNTDSLP,DPNTECOC,DPNTECOP,DPNTFEMC,DPNTFEMP,DPNTFOSC,DPNTFOSP,DPNTHISC,DPNTHISP,DPNTHOMC,DPNTHOMP,DPNTIMMC,DPNTIMMP,DPNTINDC,DPNTINDP,DPNTLEPC,DPNTLEPP,DPNTMALC,DPNTMALP,DPNTMIGC,DPNTMIGP,DPNTMLCC,DPNTMLCP,DPNTNEDC,DPNTNEDP,DPNTPCIC,DPNTPCIP,DPNTRSKC,DPNTRSKP,DPNTTT1C,DPNTTT1P,DPNTTWOC,DPNTTWOP,DPNTWHIC,DPNTWHIP
"'074917","SAM RAYBURN ISD",59,11.3,522,0,0,3,0.6,35,6.7,237,45.4,271,51.9,3,0.6,45,8.6,5,1,0,0,1,0.2,19,3.6,251,48.1,2,0.4,7,1.3,285,54.6,0,0,48,9.2,284,54.4,12,2.3,461,88.3
"'075901","FLATONIA ISD",48,8,602,2,0.3,26,4.3,24,4,291,48.3,289,48,13,2.2,318,52.8,19,3.2,0,0,0,0,40,6.6,313,52,31,5.1,0,0,311,51.7,0,0,123,20.4,602,100,8,1.3,248,41.2
"'075902","LA GRANGE ISD",114,6.1,1876,9,0.5,157,8.4,54,2.9,990,52.8,913,48.7,5,0.3,735,39.2,6,0.3,4,0.2,4,0.2,282,15,963,51.3,0,0,15,0.8,886,47.2,0,0,681,36.3,963,51.3,55,2.9,916,48.8
"'075903","SCHULENBURG ISD",58,8.3,696,9,1.3,98,14.1,51,7.3,437,62.8,340,48.9,0,0,278,39.9,10,1.4,0,0,3,0.4,85,12.2,356,51.1,3,0.4,6,0.9,259,37.2,0,0,229,32.9,696,100,22,3.2,286,41.1
"'075906","FAYETTEVILLE ISD",20,7.3,274,0,0,5,1.8,12,4.4,107,39.1,140,51.1,0,0,45,16.4,5,1.8,5,1.8,0,0,14,5.1,134,48.9,0,0,2,0.7,167,60.9,0,0,82,29.9,274,100,5,1.8,219,79.9
"'075908","ROUND TOP-CARMINE ISD",17,7.2,236,0,0,11,4.7,9,3.8,94,39.8,143,60.6,0,0,59,25,2,0.8,1,0.4,0,0,27,11.4,93,39.4,0,0,13,5.5,142,60.2,0,0,62,26.3,16,6.8,7,3,159,67.4
"'076903","ROBY CISD",27,8.6,314,0,0,3,1,25,8,152,48.4,154,49,0,0,97,30.9,4,1.3,0,0,0,0,10,3.2,160,51,2,0.6,1,0.3,162,51.6,0,0,105,33.4,313,99.7,5,1.6,209,66.6
"'076904","ROTAN ISD",20,8.4,239,0,0,11,4.6,11,4.6,156,65.3,104,43.5,1,0.4,127,53.1,17,7.1,0,0,1,0.4,8,3.3,135,56.5,0,0,4,1.7,83,34.7,0,0,52,21.8,239,100,8,3.3,92,38.5
"'077901","FLOYDADA ISD",61,8.7,705,1,0.1,24,3.4,39,5.5,530,75.2,326,46.2,5,0.7,575,81.6,18,2.6,5,0.7,0,0,66,9.4,379,53.8,25,3.5,14,2,175,24.8,1,0.1,347,49.2,699,99.1,3,0.4,101,14.3
"'077902","LOCKNEY ISD",65,14.3,456,1,0.2,6,1.3,59,12.9,370,81.1,227,49.8,0,0,371,81.4,1,0.2,0,0,0,0,22,4.8,229,50.2,23,5,17,3.7,86,18.9,1,0.2,283,62.1,208,45.6,2,0.4,75,16.4
"'078901","CROWELL ISD",12,5.9,202,0,0,5,2.5,9,4.5,152,75.2,107,53,0,0,85,42.1,0,0,0,0,0,0,3,1.5,95,47,0,0,0,0,50,24.8,0,0,52,25.7,202,100,10,5,102,50.5
"'079901","LAMAR CISD",2468,6.8,36519,2637,7.2,7474,20.5,1219,3.3,18423,50.4,17762,48.6,93,0.3,15498,42.4,331,0.9,496,1.4,99,0.3,5679,15.6,18757,51.4,26,0.1,29,0.1,18096,49.6,65,0.2,15623,42.8,16426,45,1181,3.2,9565,26.2
"'079906","NEEDVILLE ISD",262,7.9,3306,13,0.4,123,3.7,149,4.5,1286,38.9,1607,48.6,5,0.2,1563,47.3,1,0,28,0.8,7,0.2,284,8.6,1699,51.4,0,0,188,5.7,2020,61.1,3,0.1,1483,44.9,2279,68.9,42,1.3,1555,47
"'079907","FORT BEND ISD",4087,5.3,76735,20886,27.2,21131,27.5,2432,3.2,32482,42.3,37146,48.4,338,0.4,20217,26.3,502,0.7,1981,2.6,303,0.4,12940,16.9,39589,51.6,0,0,484,0.6,44253,57.7,117,0.2,30286,39.5,15459,20.1,2685,3.5,11396,14.9
"'079910","STAFFORD MSD",132,4,3316,201,6.1,1359,41,29,0.9,2326,70.1,1640,49.5,3,0.1,1579,47.6,13,0.4,85,2.6,9,0.3,740,22.3,1676,50.5,0,0,47,1.4,990,29.9,5,0.2,1426,43,3313,99.9,58,1.7,105,3.2
"'080901","MOUNT VERNON ISD",164,11.1,1478,14,0.9,78,5.3,145,9.8,871,58.9,733,49.6,4,0.3,381,25.8,8,0.5,1,0.1,4,0.3,186,12.6,745,50.4,3,0.2,9,0.6,607,41.1,0,0,687,46.5,1478,100,48,3.2,953,64.5
"'081902","FAIRFIELD ISD",156,9.2,1703,15,0.9,227,13.3,99,5.8,1082,63.5,849,49.9,26,1.5,477,28,39,2.3,10,0.6,7,0.4,104,6.1,854,50.1,3,0.2,8,0.5,621,36.5,3,0.2,508,29.8,1232,72.3,66,3.9,908,53.3
"'081904","TEAGUE ISD",93,8,1163,4,0.3,130,11.2,67,5.8,706,60.7,576,49.5,9,0.8,369,31.7,27,2.3,0,0,1,0.1,103,8.9,587,50.5,5,0.4,42,3.6,457,39.3,0,0,499,42.9,1163,100,36,3.1,623,53.6
"'081905","WORTHAM ISD",70,14.1,495,0,0,69,13.9,16,3.2,314,63.4,229,46.3,2,0.4,101,20.4,3,0.6,1,0.2,1,0.2,27,5.5,266,53.7,1,0.2,1,0.2,181,36.6,1,0.2,82,16.6,495,100,7,1.4,316,63.8
"'081906","DEW ISD",4,2.4,164,0,0,7,4.3,10,6.1,97,59.1,82,50,0,0,23,14,0,0,0,0,0,0,9,5.5,82,50,1,0.6,1,0.6,67,40.9,0,0,48,29.3,164,100,5,3,129,78.7
"'082902","DILLEY ISD",79,8.8,894,2,0.2,4,0.4,33,3.7,732,81.9,420,47,7,0.8,820,91.7,105,11.7,3,0.3,0,0,42,4.7,474,53,18,2,1,0.1,162,18.1,0,0,562,62.9,893,99.9,1,0.1,67,7.5
"'082903","PEARSALL ISD",157,7.8,2025,4,0.2,8,0.4,101,5,1688,83.4,991,48.9,13,0.6,1910,94.3,50,2.5,21,1,1,0,137,6.8,1034,51.1,21,1,4,0.2,337,16.6,1,0,1019,50.3,2020,99.8,0,0,101,5
"'083901","SEAGRAVES ISD",25,4.9,510,0,0,26,5.1,16,3.1,400,78.4,262,51.4,0,0,436,85.5,7,1.4,14,2.7,1,0.2,120,23.5,248,48.6,75,14.7,2,0.4,110,21.6,0,0,318,62.4,510,100,2,0.4,45,8.8
"'083902","LOOP ISD",10,6.8,146,0,0,0,0,5,3.4,90,61.6,66,45.2,0,0,54,37,0,0,1,0.7,0,0,13,8.9,80,54.8,0,0,3,2.1,56,38.4,0,0,80,54.8,146,100,2,1.4,90,61.6
"'083903","SEMINOLE ISD",195,6.7,2928,14,0.5,20,0.7,152,5.2,1676,57.2,1433,48.9,6,0.2,1603,54.7,21,0.7,111,3.8,9,0.3,501,17.1,1495,51.1,4,0.1,8,0.3,1252,42.8,2,0.1,1541,52.6,2928,100,28,1,1252,42.8
"'084802","ODYSSEY ACADEMY INC",51,3.7,1397,16,1.1,219,15.7,46,3.3,1028,73.6,699,50,3,0.2,775,55.5,3,0.2,8,0.6,2,0.1,272,19.5,698,50,0,0,11,0.8,369,26.4,0,0,834,59.7,1397,100,50,3.6,335,24
"'084804","AMBASSADORS PREPARATORY ACADEMY",3,1.2,246,5,2,114,46.3,3,1.2,246,100,134,54.5,0,0,90,36.6,0,0,0,0,1,0.4,0,0,112,45.5,0,0,2,0.8,0,0,0,0,98,39.8,246,100,7,2.8,29,11.8
"'084901","DICKINSON ISD",721,6.2,11631,226,1.9,1959,16.8,527,4.5,7811,67.2,5646,48.5,40,0.3,5767,49.6,59,0.5,174,1.5,48,0.4,1949,16.8,5985,51.5,2,0,207,1.8,3820,32.8,10,0.1,6309,54.2,11544,99.3,308,2.6,3313,28.5
"'084902","GALVESTON ISD",356,5.3,6698,131,2,1633,24.4,179,2.7,5251,78.4,3325,49.6,27,0.4,3092,46.2,413,6.2,275,4.1,17,0.3,1451,21.7,3373,50.4,7,0.1,45,0.7,1447,21.6,6,0.1,3124,46.6,6698,100,151,2.3,1668,24.9
"'084903","HIGH ISLAND ISD",19,11.1,171,2,1.2,0,0,8,4.7,112,65.5,75,43.9,0,0,17,9.9,6,3.5,0,0,3,1.8,0,0,96,56.1,0,0,0,0,59,34.5,0,0,38,22.2,171,100,12,7,137,80.1
"'084906","TEXAS CITY ISD",501,6.2,8044,32,0.4,2469,30.7,208,2.6,6964,86.6,3867,48.1,26,0.3,3454,42.9,151,1.9,30,0.4,68,0.8,837,10.4,4177,51.9,1,0,89,1.1,1080,13.4,3,0,4378,54.4,5386,67,241,3,1777,22.1
"'084908","HITCHCOCK ISD",123,7.5,1644,9,0.5,696,42.3,84,5.1,1294,78.7,771,46.9,5,0.3,541,32.9,128,7.8,0,0,0,0,136,8.3,873,53.1,0,0,2,0.1,350,21.3,0,0,560,34.1,1499,91.2,48,2.9,350,21.3
"'084909","SANTA FE ISD",283,6.5,4343,19,0.4,41,0.9,190,4.4,2153,49.6,2141,49.3,16,0.4,1058,24.4,66,1.5,5,0.1,21,0.5,225,5.2,2202,50.7,0,0,53,1.2,2190,50.4,6,0.1,1979,45.6,3047,70.2,73,1.7,3125,72
"'084910","CLEAR CREEK ISD",1917,4.7,40737,3752,9.2,3241,8,1246,3.1,11369,27.9,19790,48.6,51,0.1,13318,32.7,455,1.1,881,2.2,97,0.2,4465,11,20947,51.4,0,0,992,2.4,29368,72.1,63,0.2,17302,42.5,9712,23.8,1909,4.7,18357,45.1
"'084911","FRIENDSWOOD ISD",707,11.6,6119,391,6.4,109,1.8,571,9.3,679,11.1,3011,49.2,3,0,1205,19.7,6,0.1,28,0.5,12,0.2,141,2.3,3108,50.8,0,0,269,4.4,5440,88.9,11,0.2,1212,19.8,1221,20,251,4.1,4140,67.7
"'085902","POST ISD",59,7.4,797,1,0.1,37,4.6,44,5.5,573,71.9,378,47.4,0,0,487,61.1,8,1,2,0.3,6,0.8,63,7.9,419,52.6,0,0,8,1,224,28.1,1,0.1,244,30.6,764,95.9,34,4.3,231,29
"'085903","SOUTHLAND ISD",4,3.4,117,0,0,0,0,4,3.4,83,70.9,58,49.6,0,0,71,60.7,0,0,0,0,0,0,0,0,59,50.4,0,0,2,1.7,34,29.1,0,0,56,47.9,117,100,1,0.9,45,38.5
"'086024","DOSS CONSOLIDATED CSD",0,0,18,2,11.1,0,0,0,0,0,0,10,55.6,0,0,11,61.1,0,0,0,0,0,0,0,0,8,44.4,0,0,0,0,18,100,0,0,0,0,0,0,0,0,5,27.8
"'086901","FREDERICKSBURG ISD",204,6.6,3101,19,0.6,6,0.2,169,5.4,1602,51.7,1499,48.3,11,0.4,1561,50.3,32,1,51,1.6,6,0.2,446,14.4,1602,51.7,4,0.1,46,1.5,1499,48.3,1,0,1353,43.6,1937,62.5,38,1.2,1470,47.4
"'086902","HARPER ISD",38,6.9,554,0,0,2,0.4,26,4.7,199,35.9,267,48.2,0,0,75,13.5,0,0,0,0,0,0,11,2,287,51.8,0,0,1,0.2,355,64.1,0,0,210,37.9,553,99.8,7,1.3,470,84.8
"'087901","GLASSCOCK COUNTY ISD",36,12.3,293,0,0,0,0,28,9.6,82,28,141,48.1,0,0,134,45.7,0,0,0,0,0,0,24,8.2,152,51.9,0,0,6,2,211,72,0,0,91,31.1,293,100,0,0,159,54.3
"'088902","GOLIAD ISD",136,10.7,1271,5,0.4,51,4,77,6.1,640,50.4,612,48.2,0,0,597,47,34,2.7,0,0,6,0.5,23,1.8,659,51.8,0,0,10,0.8,631,49.6,0,0,579,45.6,1271,100,25,2,587,46.2
"'089901","GONZALES ISD",242,9.1,2654,3,0.1,209,7.9,174,6.6,1970,74.2,1277,48.1,10,0.4,1805,68,6,0.2,19,0.7,3,0.1,605,22.8,1377,51.9,2,0.1,1,0,684,25.8,1,0,1641,61.8,2653,100,7,0.3,626,23.6
"'089903","NIXON-SMILEY CISD",114,11.2,1015,0,0,11,1.1,79,7.8,849,83.6,495,48.8,4,0.4,768,75.7,22,2.2,9,0.9,1,0.1,192,18.9,520,51.2,11,1.1,9,0.9,166,16.4,0,0,578,56.9,716,70.5,12,1.2,223,22
"'089905","WAELDER ISD",5,1.7,298,1,0.3,20,6.7,4,1.3,284,95.3,159,53.4,0,0,253,84.9,19,6.4,5,1.7,0,0,79,26.5,139,46.6,3,1,5,1.7,14,4.7,0,0,154,51.7,298,100,4,1.3,20,6.7
"'090902","LEFORS ISD",14,8.3,169,3,1.8,0,0,10,5.9,94,55.6,81,47.9,0,0,26,15.4,0,0,0,0,1,0.6,7,4.1,88,52.1,0,0,0,0,75,44.4,0,0,78,46.2,169,100,4,2.4,135,79.9
"'090903","MCLEAN ISD",18,9,201,0,0,0,0,12,6,127,63.2,98,48.8,0,0,40,19.9,0,0,0,0,0,0,1,0.5,103,51.2,0,0,0,0,74,36.8,0,0,75,37.3,201,100,13,6.5,148,73.6
"'090904","PAMPA ISD",261,7.4,3506,16,0.5,96,2.7,241,6.9,2184,62.3,1671,47.7,17,0.5,1716,48.9,78,2.2,12,0.3,13,0.4,625,17.8,1835,52.3,9,0.3,32,0.9,1322,37.7,0,0,1779,50.7,2442,69.7,97,2.8,1568,44.7
"'090905","GRANDVIEW-HOPKINS ISD",1,2.6,38,0,0,0,0,1,2.6,14,36.8,24,63.2,0,0,7,18.4,1,2.6,0,0,0,0,0,0,14,36.8,0,0,0,0,24,63.2,0,0,13,34.2,0,0,0,0,31,81.6
"'091901","BELLS ISD",102,11.8,868,5,0.6,7,0.8,65,7.5,307,35.4,432,49.8,0,0,89,10.3,3,0.3,0,0,19,2.2,12,1.4,436,50.2,0,0,2,0.2,561,64.6,2,0.2,208,24,384,44.2,39,4.5,707,81.5
"'091902","COLLINSVILLE ISD",42,7.8,539,1,0.2,4,0.7,37,6.9,352,65.3,239,44.3,0,0,104,19.3,6,1.1,0,0,5,0.9,23,4.3,300,55.7,0,0,2,0.4,187,34.7,0,0,152,28.2,288,53.4,11,2,414,76.8
"'091903","DENISON ISD",369,8,4591,29,0.6,449,9.8,313,6.8,2689,58.6,2253,49.1,5,0.1,975,21.2,28,0.6,17,0.4,82,1.8,360,7.8,2338,50.9,1,0,8,0.2,1902,41.4,1,0,2053,44.7,1849,40.3,408,8.9,2647,57.7
"'091905","HOWE ISD",133,10.9,1224,2,0.2,33,2.7,98,8,573,46.8,576,47.1,2,0.2,294,24,0,0,15,1.2,10,0.8,117,9.6,648,52.9,0,0,34,2.8,651,53.2,1,0.1,431,35.2,836,68.3,69,5.6,815,66.6
"'091906","SHERMAN ISD",752,10,7503,242,3.2,945,12.6,482,6.4,5614,74.8,3667,48.9,3,0,3215,42.8,229,3.1,43,0.6,71,0.9,1866,24.9,3836,51.1,4,0.1,3,0,1889,25.2,8,0.1,4734,63.1,7116,94.8,493,6.6,2529,33.7
"'091907","TIOGA ISD",125,17,737,1,0.1,2,0.3,57,7.7,244,33.1,376,51,1,0.1,147,19.9,1,0.1,3,0.4,5,0.7,55,7.5,361,49,0,0,31,4.2,493,66.9,0,0,281,38.1,737,100,15,2,567,76.9
"'091908","VAN ALSTYNE ISD",292,15.6,1868,21,1.1,23,1.2,192,10.3,494,26.4,927,49.6,6,0.3,335,17.9,0,0,4,0.2,14,0.7,68,3.6,941,50.4,0,0,23,1.2,1374,73.6,0,0,426,22.8,864,46.3,80,4.3,1395,74.7
"'091909","WHITESBORO ISD",111,7,1596,8,0.5,14,0.9,59,3.7,824,51.6,749,46.9,11,0.7,294,18.4,54,3.4,13,0.8,22,1.4,103,6.5,847,53.1,0,0,4,0.3,772,48.4,1,0.1,540,33.8,1175,73.6,58,3.6,1199,75.1
"'091910","WHITEWRIGHT ISD",85,11.4,743,3,0.4,29,3.9,47,6.3,330,44.4,370,49.8,2,0.3,96,12.9,7,0.9,2,0.3,12,1.6,34,4.6,373,50.2,0,0,18,2.4,413,55.6,0,0,291,39.2,493,66.4,37,5,566,76.2
"'091913","POTTSBORO ISD",236,16.8,1403,6,0.4,9,0.6,129,9.2,549,39.1,662,47.2,4,0.3,109,7.8,11,0.8,0,0,42,3,19,1.4,741,52.8,0,0,4,0.3,854,60.9,0,0,368,26.2,535,38.1,84,6,1153,82.2
"'091914","S AND S CISD",101,10.3,985,8,0.8,5,0.5,72,7.3,442,44.9,495,50.3,11,1.1,129,13.1,2,0.2,1,0.1,9,0.9,40,4.1,490,49.7,0,0,43,4.4,543,55.1,1,0.1,412,41.8,367,37.3,57,5.8,776,78.8
"'091917","GUNTER ISD",133,13,1024,5,0.5,7,0.7,54,5.3,222,21.7,477,46.6,2,0.2,223,21.8,9,0.9,5,0.5,14,1.4,60,5.9,547,53.4,0,0,74,7.2,802,78.3,1,0.1,256,25,384,37.5,31,3,743,72.6
"'091918","TOM BEAN ISD",76,11.5,659,4,0.6,15,2.3,33,5,322,48.9,322,48.9,8,1.2,84,12.7,21,3.2,1,0.2,12,1.8,31,4.7,337,51.1,0,0,2,0.3,337,51.1,0,0,241,36.6,264,40.1,14,2.1,530,80.4
"'092801","EAST TEXAS CHARTER SCHOOLS",24,17.4,138,1,0.7,9,6.5,6,4.3,44,31.9,61,44.2,0,0,29,21,0,0,0,0,1,0.7,0,0,77,55.8,0,0,0,0,94,68.1,0,0,105,76.1,0,0,4,2.9,94,68.1
"'092901","GLADEWATER ISD",157,8.9,1755,6,0.3,376,21.4,100,5.7,1306,74.4,810,46.2,3,0.2,322,18.3,13,0.7,0,0,5,0.3,125,7.1,945,53.8,0,0,20,1.1,449,25.6,0,0,731,41.7,1754,99.9,123,7,923,52.6
"'092902","KILGORE ISD",355,9,3948,21,0.5,503,12.7,201,5.1,2527,64,1890,47.9,22,0.6,1464,37.1,32,0.8,12,0.3,17,0.4,755,19.1,2058,52.1,0,0,24,0.6,1421,36,0,0,2065,52.3,1861,47.1,197,5,1746,44.2
"'092903","LONGVIEW ISD",490,5.9,8254,120,1.5,2847,34.5,326,3.9,6503,78.8,3981,48.2,3,0,3377,40.9,2,0,32,0.4,45,0.5,1686,20.4,4273,51.8,2,0,5,0.1,1751,21.2,15,0.2,4260,51.6,2584,31.3,293,3.5,1557,18.9
"'092904","PINE TREE ISD",306,6.7,4545,50,1.1,1062,23.4,172,3.8,3072,67.6,2171,47.8,18,0.4,1645,36.2,11,0.2,28,0.6,10,0.2,711,15.6,2374,52.2,0,0,147,3.2,1473,32.4,7,0.2,2141,47.1,4545,100,267,5.9,1504,33.1
"'092906","SABINE ISD",133,8.7,1521,7,0.5,59,3.9,114,7.5,756,49.7,765,50.3,13,0.9,354,23.3,0,0,2,0.1,7,0.5,160,10.5,756,49.7,0,0,4,0.3,765,50.3,0,0,487,32,1521,100,72,4.7,1022,67.2
"'092907","SPRING HILL ISD",138,6.9,2006,39,1.9,254,12.7,57,2.8,853,42.5,999,49.8,11,0.5,377,18.8,2,0.1,5,0.2,18,0.9,99,4.9,1007,50.2,1,0,32,1.6,1153,57.5,2,0.1,564,28.1,923,46,98,4.9,1218,60.7
"'092908","WHITE OAK ISD",141,9.6,1468,10,0.7,46,3.1,82,5.6,625,42.6,699,47.6,5,0.3,144,9.8,0,0,0,0,9,0.6,17,1.2,769,52.4,0,0,115,7.8,843,57.4,0,0,422,28.7,708,48.2,79,5.4,1180,80.4
"'093901","ANDERSON-SHIRO CISD",84,9.5,887,5,0.6,47,5.3,74,8.3,380,42.8,437,49.3,0,0,148,16.7,4,0.5,0,0,0,0,42,4.7,450,50.7,12,1.4,1,0.1,507,57.2,0,0,226,25.5,887,100,29,3.3,658,74.2
"'093903","IOLA ISD",34,6.4,535,2,0.4,10,1.9,20,3.7,192,35.9,268,50.1,1,0.2,96,17.9,1,0.2,0,0,0,0,5,0.9,267,49.9,0,0,3,0.6,343,64.1,0,0,153,28.6,535,100,15,2.8,412,77
"'093904","NAVASOTA ISD",201,7.1,2847,6,0.2,518,18.2,158,5.5,2257,79.3,1400,49.2,12,0.4,1437,50.5,112,3.9,2,0.1,19,0.7,632,22.2,1447,50.8,3,0.1,6,0.2,590,20.7,4,0.1,1674,58.8,1311,46,33,1.2,830,29.2
"'093905","RICHARDS ISD",17,9.3,182,0,0,23,12.6,14,7.7,97,53.3,96,52.7,0,0,15,8.2,0,0,0,0,0,0,0,0,86,47.3,0,0,0,0,85,46.7,0,0,61,33.5,182,100,4,2.2,140,76.9
"'094901","SEGUIN ISD",516,7.5,6899,24,0.3,275,4,266,3.9,4647,67.4,3297,47.8,25,0.4,4947,71.7,81,1.2,44,0.6,10,0.1,802,11.6,3602,52.2,15,0.2,82,1.2,2252,32.6,6,0.1,3874,56.2,3307,47.9,101,1.5,1536,22.3
"'094902","SCHERTZ-CIBOLO-U CITY ISD",1473,9.4,15673,290,1.9,1812,11.6,956,6.1,4429,28.3,7664,48.9,54,0.3,6996,44.6,55,0.4,120,0.8,51,0.3,547,3.5,8009,51.1,0,0,5842,37.3,11244,71.7,47,0.3,5012,32,2170,13.8,1083,6.9,5394,34.4
"'094903","NAVARRO ISD",159,8.6,1849,11,0.6,28,1.5,119,6.4,639,34.6,914,49.4,11,0.6,760,41.1,10,0.5,6,0.3,2,0.1,80,4.3,935,50.6,0,0,173,9.4,1210,65.4,3,0.2,561,30.3,921,49.8,38,2.1,1007,54.5
"'094904","MARION ISD",115,7.8,1483,2,0.1,26,1.8,83,5.6,610,41.1,707,47.7,29,2,624,42.1,23,1.6,0,0,4,0.3,86,5.8,776,52.3,0,0,57,3.8,873,58.9,3,0.2,434,29.3,661,44.6,32,2.2,792,53.4
"'095901","ABERNATHY ISD",50,6.2,810,1,0.1,14,1.7,50,6.2,387,47.8,388,47.9,1,0.1,427,52.7,0,0,0,0,2,0.2,13,1.6,422,52.1,19,2.3,11,1.4,423,52.2,0,0,233,28.8,810,100,10,1.2,356,44
"'095902","COTTON CENTER ISD",6,6.3,96,0,0,0,0,3,3.1,68,70.8,46,47.9,0,0,55,57.3,0,0,0,0,0,0,3,3.1,50,52.1,2,2.1,0,0,28,29.2,0,0,26,27.1,96,100,1,1,40,41.7
"'095903","HALE CENTER ISD",48,7.8,618,2,0.3,9,1.5,19,3.1,444,71.8,289,46.8,0,0,458,74.1,4,0.6,0,0,4,0.6,49,7.9,329,53.2,1,0.2,5,0.8,174,28.2,0,0,374,60.5,618,100,6,1,139,22.5
"'095904","PETERSBURG ISD",22,7.6,291,0,0,3,1,16,5.5,227,78,149,51.2,0,0,196,67.4,0,0,0,0,0,0,20,6.9,142,48.8,5,1.7,3,1,64,22,0,0,141,48.5,291,100,3,1,89,30.6
"'095905","PLAINVIEW ISD",303,6.3,4843,14,0.3,174,3.6,295,6.1,3906,80.7,2371,49,20,0.4,3869,79.9,17,0.4,2,0,15,0.3,433,8.9,2472,51,52,1.1,20,0.4,937,19.3,2,0,2775,57.3,4843,100,55,1.1,714,14.7
"'096904","MEMPHIS ISD",58,13.1,443,1,0.2,38,8.6,68,15.3,362,81.7,216,48.8,0,0,273,61.6,8,1.8,0,0,0,0,67,15.1,227,51.2,8,1.8,1,0.2,81,18.3,0,0,258,58.2,443,100,5,1.1,126,28.4
"'096905","TURKEY-QUITAQUE ISD",14,7.2,195,0,0,2,1,9,4.6,111,56.9,83,42.6,0,0,60,30.8,0,0,0,0,0,0,12,6.2,112,57.4,0,0,5,2.6,84,43.1,0,0,75,38.5,195,100,3,1.5,130,66.7
"'097902","HAMILTON ISD",137,17.3,792,3,0.4,2,0.3,133,16.8,398,50.3,375,47.3,1,0.1,182,23,22,2.8,8,1,0,0,57,7.2,417,52.7,6,0.8,2,0.3,394,49.7,0,0,184,23.2,789,99.6,6,0.8,599,75.6
"'097903","HICO ISD",62,10.9,569,0,0,6,1.1,43,7.6,306,53.8,258,45.3,0,0,121,21.3,8,1.4,1,0.2,2,0.4,49,8.6,311,54.7,7,1.2,2,0.4,263,46.2,0,0,228,40.1,569,100,9,1.6,431,75.7
"'098901","GRUVER ISD",28,6.4,439,2,0.5,0,0,25,5.7,209,47.6,227,51.7,1,0.2,220,50.1,0,0,14,3.2,0,0,84,19.1,212,48.3,3,0.7,0,0,230,52.4,0,0,216,49.2,439,100,2,0.5,215,49
"'098903","PRINGLE-MORSE CISD",8,7.1,113,0,0,0,0,3,2.7,80,70.8,51,45.1,0,0,73,64.6,7,6.2,4,3.5,1,0.9,37,32.7,62,54.9,6,5.3,0,0,33,29.2,0,0,68,60.2,113,100,1,0.9,38,33.6
"'098904","SPEARMAN ISD",53,6.5,812,4,0.5,0,0,28,3.4,474,58.4,395,48.6,0,0,543,66.9,17,2.1,20,2.5,0,0,174,21.4,417,51.4,39,4.8,0,0,338,41.6,0,0,407,50.1,548,67.5,5,0.6,260,32
"'099902","CHILLICOTHE ISD",15,7.2,207,0,0,1,0.5,16,7.7,161,77.8,109,52.7,2,1,101,48.8,0,0,1,0.5,1,0.5,37,17.9,98,47.3,0,0,0,0,46,22.2,1,0.5,68,32.9,207,100,8,3.9,95,45.9
"'099903","QUANAH ISD",33,6.3,528,3,0.6,18,3.4,32,6.1,400,75.8,246,46.6,1,0.2,191,36.2,18,3.4,0,0,1,0.2,13,2.5,282,53.4,1,0.2,5,0.9,128,24.2,0,0,214,40.5,528,100,31,5.9,284,53.8
"'100903","KOUNTZE ISD",129,11.9,1086,4,0.4,143,13.2,83,7.6,605,55.7,480,44.2,3,0.3,82,7.6,16,1.5,2,0.2,5,0.5,42,3.9,606,55.8,0,0,0,0,481,44.3,0,0,439,40.4,754,69.4,44,4.1,808,74.4
"'100904","SILSBEE ISD",338,12.3,2743,7,0.3,472,17.2,165,6,1716,62.6,1358,49.5,35,1.3,229,8.3,130,4.7,14,0.5,17,0.6,57,2.1,1385,50.5,0,0,50,1.8,1027,37.4,2,0.1,1582,57.7,1968,71.7,164,6,1852,67.5
"'100905","HARDIN-JEFFERSON ISD",292,11.8,2481,32,1.3,315,12.7,167,6.7,988,39.8,1194,48.1,7,0.3,281,11.3,20,0.8,1,0,3,0.1,89,3.6,1287,51.9,0,0,30,1.2,1493,60.2,1,0,627,25.3,1208,48.7,63,2.5,1786,72
"'100907","LUMBERTON ISD",436,10.5,4144,31,0.7,23,0.6,270,6.5,1478,35.7,2008,48.5,6,0.1,429,10.4,35,0.8,8,0.2,23,0.6,80,1.9,2136,51.5,1,0,68,1.6,2666,64.3,1,0,1069,25.8,1360,32.8,106,2.6,3531,85.2
"'100908","WEST HARDIN COUNTY CISD",64,12,535,0,0,3,0.6,44,8.2,345,64.5,251,46.9,0,0,25,4.7,12,2.2,0,0,0,0,4,0.7,284,53.1,0,0,1,0.2,190,35.5,0,0,265,49.5,534,99.8,10,1.9,497,92.9
"'101802","SER-NINOS CHARTER SCHOOL",10,0.9,1095,6,0.5,9,0.8,1,0.1,1059,96.7,564,51.5,0,0,1065,97.3,0,0,0,0,8,0.7,971,88.7,531,48.5,0,0,0,0,36,3.3,0,0,988,90.2,1095,100,1,0.1,6,0.5
