DISTRICT,D20GR13N,D20GR13R,D30GR13N,D30GR13R,D40GR13N,D40GR13R,DA0GH13N,DA0GH13R,DA0GM13N,DA0GM13R,DA0GR13N,DA0GR13R,DAPID14N,DAPID14R,DAUND13C,DAUND13R,DB0GR13N,DB0GR13R,DH0GR13N,DH0GR13R,DI0GR13N,DI0GR13R,DPEMALLC,DPEMALLP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR13N,DS0GR13R,DW0GR13N,DW0GR13R
'140905,0,0,0,0,0,0,32,76.2,10,23.8,42,100,0,0,0,0,1,2.4,32,76.2,0,0,80,12.6,0,2.6,5,9.3000000000000007,0,0,2.2999999999999998,0,5.0999999999999996,0,0,0,0,0,0,0,0,.,635,0,0,104,16.4,4,0.6,9,1.2,469,73.9,37,5.8,56,8.8,39,6.1,46,7.2,54,8.5,56,8.8,51,8,53,8.3,35,5.5,35,5.5,53,8.3,52,8.2,0,0,33,5.2,38,6,30,4.7,496,78.1,0,0,104,16.4,166,26.1,0,0,279,43.9,64,10.1,2,0.3,127,20,133,20.9,6,14.3,9,21.4
'140907,0,0,0,0,0,0,24,80,6,20,30,100,1,0.2,1,0.6,1,3.3,16,53.3,0,0,47,12.7,0,3.8,3.2,13,8.6999999999999993,4,0,0,9.4,0,0,0,0,0,0,20,0,33.299999999999997,384,0,0,24,6.3,10,2.6,1,0.2,240,62.5,31,8.1,37,9.6,29,7.6,34,8.9,22,5.7,25,6.5,25,6.5,25,6.5,25,6.5,29,7.6,22,5.7,17,4.4,0,0,25,6.5,35,9.1,28,7.3,256,66.7,0,0,24,6.3,144,37.5,0,0,170,44.3,40,10.4,1,0.3,117,30.5,117,30.5,3,10,13,43.3
'140908,0,0,0,0,0,0,28,90.3,3,9.6999999999999993,31,100,0,0,0,0,0,0,19,61.3,0,0,67,15.3,0,0,0,4.5,11.1,0,0,0,3.4,0,0,0,0,0,0,0,0,0,448,0,0,31,6.9,8,1.8,2,0.4,284,63.4,30,6.7,37,8.3,31,6.9,34,7.6,27,6,43,9.6,30,6.7,32,7.1,32,7.1,33,7.4,33,7.4,38,8.5,0,0,26,5.8,28,6.3,20,4.5,243,54.2,0,0,33,7.4,164,36.6,0,0,248,55.4,32,7.1,9,2,166,37.1,188,42,3,9.6999999999999993,12,38.700000000000003
'141901,6,2.8,1,0.5,0,0,175,81,41,19,216,100,0,0,0,0,10,4.5999999999999996,49,22.7,3,1.4,516,15.3,10.1,3.9,2.4,0.4,0.9,0,0.4,0.8,6.5,7.7,0,0,0,0,0,0,0,35.700000000000003,3380,36,1.1,87,2.6,88,2.6,77,2,1737,51.4,254,7.5,246,7.3,263,7.8,219,6.5,263,7.8,247,7.3,254,7.5,286,8.5,282,8.3,249,7.4,253,7.5,236,7,3,0.1,285,8.4,254,7.5,71,2.1,817,24.2,21,0.6,90,2.7,1643,48.6,19,0.6,1395,41.3,327,9.7,101,3,718,21.2,2298,68,11,5.0999999999999996,147,68.099999999999994
'141902,1,4.5,1,4.5,0,0,19,86.4,3,13.6,22,100,0,0,0,0,0,0,11,50,0,0,50,18.100000000000001,10.5,0,0,0,12.5,6.3,0,0,15.8,0,0,0,0,0,0,25,0,33.299999999999997,313,3,1,40,12.8,5,1.6,3,0.9,239,76.4,20,6.4,22,7,19,6.1,27,8.6,17,5.4,22,7,17,5.4,17,5.4,24,7.7,18,5.8,22,7,18,5.8,0,0,21,6.7,25,8,45,14.4,155,49.5,2,0.6,40,12.8,74,23.6,0,0,193,61.7,30,9.6,5,1.6,93,29.7,143,45.7,2,9.1,9,40.9
'142901,0,0,0,0,0,0,51,82.3,11,17.7,62,100,0,0,0,0,0,0,59,95.2,0,0,182,15.1,4.2,2.1,1,1.1000000000000001,3.6,0,0,6.3,1.1000000000000001,0,0,0,0,0,0,0,0,0,1364,5,0.4,107,7.8,3,0.2,40,2.8,1122,82.3,104,7.6,98,7.2,109,8,106,7.8,101,7.4,97,7.1,107,7.8,113,8.3,85,6.2,99,7.3,73,5.4,52,3.8,0,0,128,9.4,113,8.3,107,7.8,1246,91.3,4,0.3,120,8.8,242,17.7,0,0,848,62.2,106,7.8,4,0.3,360,26.4,102,7.5,6,9.6999999999999993,3,4.8
'143901,1,1.4,0,0,0,0,71,95.9,3,4.0999999999999996,74,100,0,0,4,0.8,7,9.5,6,8.1,0,0,101,10.9,5.7,8.5,1.6,0,8,0,1.6,0,1.3,0,0,0,0,0,0,0,0,28.6,1019,4,0.4,15,1.5,99,9.7,14,1.3,406,39.8,85,8.3,83,8.1,57,5.6,74,7.3,71,7,57,5.6,73,7.2,71,7,92,9,85,8.3,76,7.5,77,7.6,2,0.2,58,5.7,66,6.5,50,4.9,201,19.7,1,0.1,15,1.5,613,60.2,0,0,408,40,97,9.5,32,3.1,311,30.5,682,66.9,10,13.5,60,81.099999999999994
'143902,0,0,0,0,0,0,15,93.8,1,6.3,16,100,0,0,1,0.8,0,0,3,18.8,1,6.3,39,14.4,14.3,15,0,5.9,5,10,0,0,5,0,0,0,0,0,0,0,0,.,318,0,0,26,8.2,2,0.6,0,0,172,54.1,24,7.5,27,8.5,22,6.9,21,6.6,22,6.9,25,7.9,23,7.2,23,7.2,25,7.9,26,8.2,17,5.3,13,4.1,0,0,6,1.9,26,8.2,24,7.5,138,43.4,2,0.6,26,8.2,146,45.9,0,0,101,31.8,28,8.8,4,1.3,87,27.4,172,54.1,2,12.5,12,75
'143903,0,0,0,0,0,0,40,90.9,4,9.1,44,100,0,0,1,0.3,8,18.2,6,13.6,0,0,75,13,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,10,50,583,3,0.5,9,1.5,52,8.9,9,1.4,194,33.3,38,6.5,38,6.5,45,7.7,41,7,48,8.2,51,8.7,46,7.9,40,6.9,48,8.2,41,7,41,7,41,7,1,0.2,16,2.7,41,7,23,3.9,81,13.9,1,0.2,9,1.5,389,66.7,0,0,121,20.8,65,11.1,12,2.1,182,31.2,434,74.4,3,6.8,30,68.2
'143904,.,.,.,.,.,.,.,.,.,.,.,.,0,0,2,10,.,.,.,.,.,.,19,19.8,0,0,0,0,0,0,0,0,7.1,50,0,0,0,0,0,100,0,.,124,4,3.2,0,0,14,11.3,0,0,55,44.4,13,10.5,10,8.1,15,12.1,12,9.7,14,11.3,10,8.1,10,8.1,11,8.9,0,0,0,0,0,0,0,0,0,0,5,4,18,14.5,11,8.9,14,11.3,0,0,0,0,69,55.6,0,0,13,10.5,9,7.3,1,0.8,0,0,91,73.4,.,.,.,.
'143905,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,.,.,.,.,.,.,4,3.5,0,0,0,0,0,0,0,0,0,.,0,0,0,0,.,.,0,0,145,0,0,0,0,1,0.7,0,0,31,21.4,20,13.8,15,10.3,12,8.3,19,13.1,20,13.8,12,8.3,9,6.2,11,7.6,0,0,0,0,0,0,0,0,0,0,20,13.8,15,10.3,12,8.3,30,20.7,0,0,0,0,114,78.6,0,0,21,14.5,10,6.9,3,2.1,0,0,111,76.6,.,.,.,.
'143906,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,.,.,.,.,.,.,7,14.9,0,0,0,0,0,0,0,0,9.1,.,.,.,0,0,.,0,.,100,66,0,0,0,0,0,0,0,0,31,47,10,15.2,5,7.6,4,6.1,5,7.6,6,9.1,6,9.1,6,9.1,4,6.1,0,0,0,0,0,0,0,0,0,0,4,6.1,10,15.2,10,15.2,3,4.5,0,0,0,0,35,53,0,0,6,9.1,8,12.1,3,4.5,0,0,60,90.9,.,.,.,.
