DISTRICT,DAUND18C,DAUND18R,DPEMALLC,DPEMALLP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRA9R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSA9R,DPERSAKR,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSAUC,DPETSAUP,DPETSBHC,DPETSBHP,DPETSIMC,DPETSINC,DPETSINP,DPETSNOC,DPETSNOP,DPETSPEC,DPETSPEP,DPETSPHC,DPETSPHP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP
'046802,6,0.4,1792,92.9,0,0,0,0,40,0,0,3.8,23.1,25,.,0,100,0,8.3000000000000007,0,0,0,10.8,.,70,15.6,448,0,0,18,4,99,22.1,0,0,13,2.9,448,100,1,0.2,3,0.7,4,0.9,3,0.7,13,2.9,27,6,43,9.6,76,17,126,28.1,93,20.8,44,9.8,15,3.3,0,0,0,0,0,0,0,0,160,35.7,3,0.7,18,4,0,0,0,0,448,100,-1,-1,114,74,154,37,24,0,0,154,34.4,-1,-1,8,1.8,136,30.4,178,39.7
'046901,31,0.7,1282,14.7,3.3,1.7,1.2,0.3,0.3,2.2000000000000002,1.4,0.2,2.6,2.6,11.1,1.7,1.7,0,0,1.5,0,1.6,13.8,13.8,916,10.1,9110,92,1,783,8.6,185,2,119,1.2,458,5,3501,38.4,693,7.6,673,7.4,671,7.4,692,7.6,693,7.6,696,7.6,731,8,662,7.3,737,8.1,653,7.2,623,6.8,526,5.8,18,0.2,705,7.7,714,7.8,328,3.6,4333,47.6,26,0.3,807,8.9,5609,61.6,5,0.1,3307,36.3,92,12,161,21,768,311,40.5,7,0.9,768,8.4,197,25.7,225,2.5,2076,22.8,4244,46.6
'046902,6,0.1,3123,13.6,1.8,0.9,0.6,0.4,0.2,0.2,0,0.2,3.3,2.2000000000000002,4.0999999999999996,2.5,0.4,0.5,0.4,0,0,0,9.3000000000000007,6.4,2028,8.5,23859,316,1.3,1507,6.3,532,2.2,352,1.4,899,3.8,7076,29.7,1738,7.3,1812,7.6,1774,7.4,1890,7.9,1994,8.4,1928,8.1,1854,7.8,1813,7.6,1972,8.3,1745,7.3,1716,7.2,1574,6.6,79,0.3,2829,11.9,1658,6.9,312,1.3,9367,39.3,53,0.2,1317,5.5,16783,70.3,36,0.2,8191,34.3,325,12.5,733,28.1,2604,1065,40.9,38,1.5,2604,10.9,443,17,840,3.5,5116,21.4,12715,53.3
'047901,0,0,175,14.5,8.1999999999999993,4.3,2.6,1.1000000000000001,0,0,0,0,2.2999999999999998,10,7.7,0,0,7.7,0,0,0,0,0,35.299999999999997,101,7.7,1313,3,0.2,200,15.2,2,0.2,19,1.3,49,3.7,897,68.3,98,7.5,100,7.6,83,6.3,90,6.9,110,8.4,92,7,104,7.9,90,6.9,84,6.4,94,7.2,76,5.8,74,5.6,32,2.4,69,5.3,99,7.5,87,6.6,688,52.4,8,0.6,200,15.2,416,31.7,0,0,651,49.6,-3,-3,14,9.3,151,85,56.3,-1,-1,151,11.5,43,28.5,24,1.8,373,28.4,588,44.8
'047902,0,0,85,12.3,2.4,5.7,0,4.5,3.6,1.7,0,0,0,9.3000000000000007,12.5,0,0,0,0,0,0,0,0,16.7,75,10.1,740,3,0.4,37,5,4,0.5,3,0.4,71,9.6,474,64.1,52,7,53,7.2,53,7.2,57,7.7,51,6.9,63,8.5,64,8.6,62,8.4,61,8.2,52,7,45,6.1,37,5,0,0,35,4.7,49,6.6,41,5.5,249,33.6,0,0,37,5,266,35.9,0,0,314,42.4,-1,-1,5,6.7,75,37,49.3,-1,-1,75,10.1,28,37.3,9,1.2,254,34.3,475,64.2
'047903,0,0,13,9.8,0,9.1,0,0,0,0,0,0,0,20,0,0,.,.,0,0,0,0,.,0,5,3.4,146,0,0,52,35.6,0,0,0,0,4,2.7,112,76.7,8,5.5,16,11,12,8.2,5,3.4,7,4.8,16,11,8,5.5,15,10.3,10,6.8,7,4.8,14,9.6,8,5.5,0,0,3,2.1,11,7.5,9,6.2,103,70.5,0,0,54,37,34,23.3,0,0,89,61,0,0,-1,-1,19,14,73.7,0,0,19,13,-1,-1,2,1.4,62,42.5,41,28.1
'047905,0,0,13,10.9,33.299999999999997,14.3,0,0,0,0,0,0,0,22.2,0,0,0,0,.,.,0,0,.,0,3,2.2,139,0,0,0,0,0,0,0,0,0,0,79,56.8,10,7.2,6,4.3,9,6.5,11,7.9,18,12.9,8,5.8,12,8.6,10,7.2,11,7.9,11,7.9,9,6.5,8,5.8,0,0,11,7.9,6,4.3,10,7.2,31,22.3,0,0,0,0,60,43.2,0,0,25,18,0,0,-1,-1,25,-3,-3,0,0,25,18,14,56,0,0,61,43.9,108,77.7
'048901,0,0,46,20,20,7.7,11.1,5.3,0,0,0,0,0,5.6,0,0,0,25,0,0,0,0,0,50,11,5.1,217,3,1.4,12,5.5,2,0.9,0,0,5,2.3,139,64.1,21,9.7,13,6,14,6.5,14,6.5,23,10.6,18,8.3,22,10.1,21,9.7,23,10.6,18,8.3,9,4.1,10,4.6,1,0.5,6,2.8,10,4.6,0,0,141,65,1,0.5,12,5.5,78,35.9,0,0,109,50.2,-1,-1,-1,-1,29,19,65.5,0,0,29,13.4,-1,-1,0,0,78,35.9,70,32.3
'048903,0,0,77,29.7,0,0,0,0,0,0,0,0,0,8.3000000000000007,0,.,0,0,0,0,0,0,0,0,25,10.3,243,2,0.8,11,4.5,2,0.8,4,1.4,21,8.6,186,76.5,14,5.8,22,9.1,14,5.8,16,6.6,17,7,14,5.8,17,7,21,8.6,21,8.6,21,8.6,16,6.6,17,7,4,1.6,17,7,16,6.6,13,5.3,112,46.1,0,0,11,4.5,57,23.5,0,0,127,52.3,-1,-1,-1,-1,27,14,51.9,0,0,27,11.1,7,25.9,16,6.6,70,28.8,111,45.7
'049901,3,0.2,400,13.8,1.6,0,1,0.5,0,0,0,0.5,2.2999999999999998,0,0,4.5,0,0,0,0,4.3,0,9.1,4.3,113,3.6,3169,23,0.7,741,23.4,204,6.4,123,3.7,68,2.1,2474,78.1,238,7.5,215,6.8,257,8.1,218,6.9,240,7.6,224,7.1,209,6.6,235,7.4,269,8.5,238,7.5,221,7,191,6,10,0.3,137,4.3,259,8.2,145,4.6,1818,57.4,14,0.4,757,23.9,695,21.9,0,0,1785,56.3,-3,-3,59,22.5,262,122,46.6,-1,-1,262,8.3,49,18.7,133,4.2,931,29.4,977,30.8
'049902,0,0,18,4,0,0,0,0,0,0,0,0,0,3.3,0,0,9.1,0,.,0,0,0,0,10,0,0,501,6,1.2,6,1.2,1,0.2,1,0.2,3,0.6,79,15.8,39,7.8,30,6,35,7,43,8.6,45,9,32,6.4,38,7.6,37,7.4,31,6.2,42,8.4,41,8.2,31,6.2,0,0,23,4.6,29,5.8,28,5.6,23,4.6,2,0.4,6,1.2,422,84.2,1,0.2,99,19.8,-1,-1,-3,-3,64,40,62.5,0,0,64,12.8,16,25,8,1.6,197,39.3,460,91.8
'049903,4,1.1,97,12.5,3.8,0,0,0,1.9,0,3.2,0,5.8,0,11.1,0,0,0,0,9.1,0,0,0,33.299999999999997,47,5.6,842,1,0.1,139,16.5,2,0.2,0,0,44,5.2,492,58.4,61,7.2,58,6.9,60,7.1,75,8.9,60,7.1,67,8,66,7.8,65,7.7,69,8.2,57,6.8,52,6.2,49,5.8,0,0,43,5.1,69,8.2,34,4,255,30.3,4,0.5,120,14.3,350,41.6,1,0.1,372,44.2,-1,-1,-3,-3,95,59,62.1,0,0,95,11.3,27,28.4,12,1.4,271,32.2,567,67.3
'049905,0,0,132,11.9,10,4.9000000000000004,1.4,0,0,0,0,0,1.5,2.4,16.7,25,0,0,0,9.1,0,0,0,0,101,8.8,1151,3,0.3,30,2.6,10,0.9,15,1.2,68,5.9,503,43.7,93,8.1,89,7.7,91,7.9,76,6.6,83,7.2,88,7.6,87,7.6,83,7.2,90,7.8,76,6.6,90,7.8,86,7.5,1,0.1,50,4.3,79,6.9,39,3.4,159,13.8,12,1,31,2.7,648,56.3,0,0,254,22.1,6,5.1,8,6.8,118,77,65.3,0,0,118,10.3,27,22.9,26,2.3,383,33.3,941,81.8
'049906,3,1.2,48,10.1,3.6,3.3,0,0,0,0,0,2.7,0,8.6999999999999993,0,0,0,0,0,0,0,0,0,0,17,3.5,483,2,0.4,7,1.4,1,0.2,3,0.6,8,1.7,158,32.7,32,6.6,33,6.8,32,6.6,41,8.5,33,6.8,44,9.1,44,9.1,32,6.6,40,8.3,30,6.2,48,9.9,36,7.5,0,0,29,6,38,7.9,0,0,57,11.8,6,1.2,7,1.4,325,67.3,0,0,159,32.9,-1,-1,-3,-3,52,25,48.1,0,0,52,10.8,16,30.8,9,1.9,140,29,408,84.5
'049907,0,0,26,5.5,0,0,0,0,0,0,0,0,2.2999999999999998,0,0,0,0,0,0,0,0,0,0,33.299999999999997,21,4,520,10,1.9,1,0.2,2,0.4,0,0,32,6.2,63,12.1,50,9.6,28,5.4,41,7.9,37,7.1,42,8.1,40,7.7,40,7.7,39,7.5,37,7.1,45,8.7,46,8.8,37,7.1,1,0.2,32,6.2,37,7.1,0,0,11,2.1,6,1.2,0,0,457,87.9,0,0,92,17.7,-1,-1,-1,-1,40,20,50,0,0,40,7.7,12,30,7,1.3,224,43.1,484,93.1
'049908,0,0,14,19.7,0,0,0,0,0,0,0,0,.,0,0,0,.,.,.,0,.,.,.,.,2,2.5,79,0,0,3,3.8,0,0,0,0,0,0,55,69.6,5,6.3,9,11.4,11,13.9,5,6.3,12,15.2,11,13.9,4,5.1,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,14,17.7,6,7.6,22,27.8,0,0,3,3.8,24,30.4,0,0,5,6.3,-1,-1,-1,-1,5,-1,-1,0,0,5,6.3,-1,-1,2,2.5,0,0,55,69.6
'049909,0,0,14,21.2,9.1,0,0,0,11.1,0,0,0,.,0,0,0,0,.,0,0,0,0,.,.,1,1.5,67,0,0,0,0,0,0,0,0,2,3,44,65.7,4,6,11,16.4,6,9,3,4.5,5,7.5,10,14.9,3,4.5,7,10.4,0,0,0,0,0,0,0,0,0,0,0,0,10,14.9,8,11.9,9,13.4,5,7.5,0,0,23,34.3,0,0,5,7.5,0,0,-1,-1,7,-1,-1,0,0,7,10.4,-1,-1,5,7.5,0,0,48,71.6
'050901,0,0,47,18.9,0,6.3,0,0,0,8.3000000000000007,0,0,4.3,0,33.299999999999997,0,0,0,0,0,0,0,0,33.299999999999997,1,0.4,233,0,0,18,7.7,4,1.7,0,0,7,3,146,62.7,17,7.3,20,8.6,18,7.7,13,5.6,21,9,16,6.9,15,6.4,14,6,18,7.7,21,9,18,7.7,16,6.9,0,0,6,2.6,12,5.2,14,6,51,21.9,0,0,18,7.7,87,37.3,0,0,165,70.8,-1,-1,-1,-1,24,15,62.5,0,0,24,10.3,6,25,2,0.9,69,29.6,176,75.5
'050902,0,0,319,11.8,0.6,0,0,0,0,0,0,0,4.8,1.2,8.6999999999999993,3.2,0,0,0,0,0,0,4.5,8,434,15.9,2734,16,0.6,110,4,75,2.7,73,2.4,253,9.3,1437,52.6,213,7.8,207,7.6,210,7.7,211,7.7,186,6.8,220,8,189,6.9,230,8.4,225,8.2,212,7.8,197,7.2,204,7.5,12,0.4,247,9,170,6.2,48,1.8,620,22.7,17,0.6,111,4.1,1297,47.4,1,0,1211,44.3,36,11.6,79,25.4,311,103,33.1,7,2.3,311,11.4,86,27.7,122,4.5,838,30.7,1883,68.9
'050904,1,1.2,30,18.4,25,0,0,0,0,0,25,0,0,0,0,.,0,.,0,0,100,0,0,.,13,7.7,169,0,0,12,7.1,0,0,0,0,8,4.7,106,62.7,14,8.3,6,3.6,9,5.3,13,7.7,9,5.3,21,12.4,12,7.1,8,4.7,14,8.3,9,5.3,13,7.7,14,8.3,1,0.6,1,0.6,13,7.7,13,7.7,47,27.8,1,0.6,11,6.5,63,37.3,0,0,85,50.3,0,0,0,0,13,-3,-3,0,0,13,7.7,-1,-1,9,5.3,59,34.9,112,66.3
'050909,0,0,30,10.1,3.6,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,33.299999999999997,13,4,326,2,0.6,0,0,1,0.3,0,0,25,7.7,173,53.1,19,5.8,33,10.1,15,4.6,31,9.5,28,8.6,27,8.3,22,6.7,23,7.1,20,6.1,22,6.7,25,7.7,14,4.3,0,0,3,0.9,28,8.6,19,5.8,39,12,0,0,0,0,153,46.9,0,0,96,29.4,-1,-1,-3,-3,34,10,29.4,0,0,34,10.4,14,41.2,4,1.2,126,38.7,280,85.9
'050910,3,0.1,1611,20.2,2.8,0.8,1.1000000000000001,0,1.3,0,0.4,0,4.5,0.4,7.4,3,1.6,0,0,0,0,0,9.4,2.2000000000000002,1037,12.6,8252,124,1.5,429,5.2,1467,17.8,161,1.8,581,7,4730,57.3,568,6.9,598,7.2,621,7.5,634,7.7,627,7.6,618,7.5,587,7.1,571,6.9,610,7.4,587,7.1,556,6.7,513,6.2,0,0,477,5.8,586,7.1,576,7,2253,27.3,42,0.5,418,5.1,3522,42.7,195,2.4,3442,41.7,104,11.8,215,24.4,880,358,40.7,17,1.9,880,10.7,186,21.1,849,10.3,2447,29.7,3322,40.3
'051901,0,0,19,9.3,0,5.9,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,.,16,7.9,202,0,0,2,1,22,10.9,0,0,7,3.5,130,64.4,7,3.5,11,5.4,16,7.9,16,7.9,10,5,14,6.9,16,7.9,16,7.9,16,7.9,23,11.4,15,7.4,18,8.9,0,0,16,7.9,13,6.4,11,5.4,84,41.6,2,1,2,1,72,35.6,0,0,149,73.8,0,0,6,17.6,34,23,67.6,0,0,34,16.8,5,14.7,7,3.5,104,51.5,87,43.1
'052901,0,0,116,10.9,0,4.2,0,2.4,0,1.3,0,0,4.5,1.4,0,0,0,0,0,0,0,0,20,11.1,54,4.7,1150,6,0.5,217,18.9,19,1.7,12,1,47,4.1,607,52.8,76,6.6,76,6.6,81,7,77,6.7,97,8.4,75,6.5,93,8.1,85,7.4,92,8,69,6,83,7.2,85,7.4,2,0.2,73,6.3,92,8,67,5.8,910,79.1,4,0.3,226,19.7,543,47.2,0,0,532,46.3,-3,-3,8,8.7,92,33,35.9,-1,-1,92,8,42,45.7,6,0.5,296,25.7,205,17.8
'053001,0,0,65,9.2,2.1,0,0,0,1.9,0,4,0,2.2999999999999998,11.8,0,25,0,0,0,0,0,0,0,20,65,8.4,775,3,0.4,117,15.1,3,0.4,4,0.5,39,5,414,53.4,55,7.1,54,7,55,7.1,61,7.9,66,8.5,56,7.2,74,9.5,50,6.5,60,7.7,48,6.2,52,6.7,40,5.2,1,0.1,55,7.1,56,7.2,47,6.1,587,75.7,7,0.9,117,15.1,361,46.6,0,0,449,57.9,-1,-1,-3,-3,66,38,57.6,0,0,66,8.5,15,22.7,4,0.5,206,26.6,171,22.1
'054901,0,0,58,16.4,13,10,0,0,0,0,7.4,3.4,8.3000000000000007,10,25,33.299999999999997,0,0,.,0,0,0,0,0,17,4.7,364,0,0,3,0.8,13,3.6,4,1,14,3.8,302,83,27,7.4,27,7.4,18,4.9,29,8,25,6.9,23,6.3,35,9.6,31,8.5,28,7.7,29,8,16,4.4,29,8,4,1.1,21,5.8,21,5.8,22,6,273,75,0,0,3,0.8,62,17,0,0,163,44.8,-1,-1,9,18.4,49,30,61.2,-1,-1,49,13.5,7,14.3,2,0.5,90,24.7,76,20.9
'054902,1,0.8,61,22.3,0,3.8,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,.,13,4.8,270,0,0,18,6.7,9,3.3,1,0.3,6,2.2,213,78.9,16,5.9,15,5.6,24,8.9,19,7,22,8.1,21,7.8,14,5.2,26,9.6,22,8.1,22,8.1,13,4.8,14,5.2,1,0.4,6,2.2,23,8.5,18,6.7,232,85.9,0,0,18,6.7,57,21.1,0,0,137,50.7,-1,-1,-1,-1,39,28,71.8,-1,-1,39,14.4,6,15.4,0,0,100,37,29,10.7
'054903,0,0,79,16.4,2.9,2.9,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,29,5.6,519,1,0.2,10,1.9,9,1.7,3,0.5,42,8.1,427,82.3,36,6.9,35,6.7,37,7.1,37,7.1,44,8.5,46,8.9,41,7.9,32,6.2,38,7.3,27,5.2,40,7.7,30,5.8,0,0,8,1.5,26,5,50,9.6,387,74.6,1,0.2,10,1.9,92,17.7,0,0,278,53.6,-1,-1,6,9.5,63,40,63.5,-1,-1,63,12.1,12,19,2,0.4,142,27.4,119,22.9
'055901,0,0,65,16.9,11.1,0,2.6,0,0,0,0,0,6.7,20,50,0,0,20,0,0,0,.,0,40,0,0,378,8,2.1,30,7.9,0,0,9,2,0,0,294,77.8,23,6.1,16,4.2,27,7.1,41,10.8,28,7.4,31,8.2,31,8.2,24,6.3,16,4.2,26,6.9,32,8.5,25,6.6,0,0,21,5.6,33,8.7,25,6.6,320,84.7,3,0.8,31,8.2,84,22.2,1,0.3,174,46,0,0,-1,-1,32,15,46.9,-1,-1,32,8.5,12,37.5,8,2.1,185,48.9,38,10.1
'056901,1,0.1,227,13.9,8,1,1.8,1,1,0,0.8,0,0,1.9,9.1,0,0,0,7.1,0,0,25,0,23.1,63,3.7,1725,7,0.4,307,17.8,21,1.2,19,1,35,2,984,57,126,7.3,98,5.7,111,6.4,125,7.2,121,7,134,7.8,140,8.1,132,7.7,117,6.8,138,8,138,8,113,6.6,3,0.2,61,3.5,134,7.8,95,5.5,1063,61.6,7,0.4,307,17.8,741,43,0,0,825,47.8,-3,-3,26,19,137,66,48.2,-1,-1,137,7.9,37,27,19,1.1,464,26.9,608,35.2
'056902,1,1.1,22,13.1,11.1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,.,0,0,.,12,6.7,179,0,0,37,20.7,1,0.6,0,0,9,5,116,64.8,16,8.9,19,10.6,15,8.4,10,5.6,12,6.7,12,6.7,11,6.1,13,7.3,14,7.8,15,8.4,8,4.5,11,6.1,0,0,7,3.9,13,7.3,10,5.6,92,51.4,0,0,34,19,63,35.2,0,0,67,37.4,0,0,-1,-1,16,8,50,0,0,16,8.9,-3,-3,0,0,69,38.5,86,48
'057802,1,0.3,136,19.8,2.8,0,0,0,0,0,3.2,7.9,0,0,0,0,0,33.299999999999997,0,0,0,0,0,0,35,5.2,676,2,0.3,141,20.9,253,37.4,0,0,27,4,571,84.5,57,8.4,51,7.5,60,8.9,55,8.1,59,8.7,69,10.2,78,11.5,68,10.1,41,6.1,36,5.3,37,5.5,25,3.7,0,0,0,0,40,5.9,0,0,380,56.2,2,0.3,142,21,105,15.5,0,0,532,78.7,5,8.2,14,23,61,33,54.1,0,0,61,9,9,14.8,16,2.4,46,6.8,23,3.4
'057803,11,0.2,934,5.9,3.4,1.6,1.8,1.1000000000000001,1.2,0.7,0.4,0.3,1.7,2.7,7.3,1.1000000000000001,3,3.4,2.5,0.7,1.5,2.9,1.9,8,492,2.6,18709,1236,6.6,6310,33.7,3691,19.7,0,0,199,1.1,15139,80.9,1511,8.1,1526,8.2,1489,8,1419,7.6,1308,7,1811,9.7,1716,9.2,1577,8.4,1369,7.3,1144,6.1,957,5.1,853,4.6,0,0,0,0,1455,7.8,574,3.1,12750,68.1,38,0.2,6011,32.1,3570,19.1,8,0,9412,50.3,275,20.4,262,19.4,1351,566,41.9,-1,-1,1351,7.2,-3,-3,328,1.8,4533,24.2,658,3.5
'057804,20,0.2,8396,75.6,.,.,.,.,.,.,.,.,38.299999999999997,.,.,.,.,.,.,.,.,.,33.799999999999997,.,53,1,5071,19,0.4,837,16.5,1420,28,0,0,0,0,4250,83.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,21.8,1472,29,1389,27.4,1102,21.7,0,0,0,0,5,0.1,0,0,3032,59.8,50,1,854,16.8,821,16.2,4,0.1,4390,86.6,5,1.1,88,19.9,443,342,77.2,0,0,443,8.7,8,1.8,169,3.3,1012,20,377,7.4
'057805,0,0,3,2.4,0,0,0,.,.,.,.,.,.,6.8,0,0,0,.,.,.,.,.,.,42.9,4,1.4,296,3,1,111,37.5,15,5.1,0,0,8,2.7,191,64.5,47,15.9,42,14.2,34,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,17.6,121,40.9,205,69.3,4,1.4,112,37.8,105,35.5,0,0,158,53.4,-1,-1,0,0,34,8,23.5,-1,-1,34,11.5,22,64.7,13,4.4,0,0,56,18.9
'057806,4,0.8,240,16.2,4,0,0,0,0,0,0,0,2.4,0,16.7,12.5,0,0,0,7.7,0,0,0,50,68,4,1689,27,1.6,284,16.8,445,26.3,0,0,23,1.4,1301,77,124,7.3,124,7.3,145,8.6,143,8.5,152,9,196,11.6,128,7.6,142,8.4,72,4.3,47,2.8,39,2.3,30,1.8,0,0,38,2.2,139,8.2,208,12.3,947,56.1,1,0.1,417,24.7,388,23,1,0.1,1303,77.1,16,15.7,19,18.6,102,46,45.1,0,0,102,6,21,20.6,31,1.8,458,27.1,237,14
'057807,2,0.1,456,8.3,3.4,2.4,0.6,0.8,2.4,0.3,0.3,0.3,0.3,2.6,10,2.2999999999999998,0,2,3.3,2.2999999999999998,0,0,0,17.899999999999999,316,5.5,5703,20,0.4,498,8.7,2579,45.2,0,0,209,3.7,3598,63.1,478,8.4,526,9.2,503,8.8,517,9.1,529,9.3,497,8.7,385,6.8,397,7,404,7.1,353,6.2,369,6.5,331,5.8,0,0,257,4.5,414,7.3,0,0,2187,38.3,9,0.2,511,9,2105,36.9,2,0,2933,51.4,78,14.5,84,15.6,537,289,53.8,0,0,537,9.4,86,16,171,3,1413,24.8,735,12.9
'057808,9,2.3,287,15,0.7,0,0.8,1.9,0,0,8.6999999999999993,4.8,0,0.4,0,0,0,0,0,0,0,0,0,0,17,0.8,2058,1141,55.4,634,30.8,339,16.5,0,0,5,0.2,648,31.5,277,13.5,297,14.4,239,11.6,239,11.6,199,9.7,114,5.5,119,5.8,96,4.7,47,2.3,45,2.2,30,1.5,18,0.9,0,0,201,9.8,272,13.2,66,3.2,520,25.3,10,0.5,657,31.9,1410,68.5,0,0,670,32.6,5,9.8,8,15.7,51,28,54.9,0,0,51,2.5,10,19.6,23,1.1,91,4.4,25,1.2
'057809,0,0,15,12.9,0,3,0,6.3,.,.,.,.,.,0,.,0,0,.,.,.,.,.,.,.,1,0.7,135,0,0,26,19.3,84,62.2,0,0,1,0.7,124,91.9,26,19.3,24,17.8,24,17.8,9,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12.6,35,25.9,47,34.8,0,0,29,21.5,11,8.1,0,0,78,57.8,0,0,-1,-1,-1,-1,-1,0,0,4,3,-1,-1,2,1.5,0,0,2,1.5
'057810,1,1.4,48,15.9,10.3,7.4,0,0,0,0,0,0,.,0,50,100,0,0,0,0,0,0,.,0,6,1.2,487,0,0,56,11.5,370,76,0,0,1,0.2,487,100,41,8.4,32,6.6,24,4.9,33,6.8,34,7,55,11.3,37,7.6,37,7.6,0,0,0,0,0,0,0,0,0,0,0,0,44,9,150,30.8,115,23.6,0,0,59,12.1,0,0,0,0,448,92,5,11.4,7,15.9,44,20,45.5,0,0,44,9,12,27.3,1,0.2,0,0,1,0.2
'057813,11,2,198,8.2,3.7,3.5,3.4,1.4,1.7,1.1000000000000001,0.8,1,.,1.2,8.1,6.1,0,0,3,0,0,0,.,0,94,2.7,3496,39,1.1,2093,59.9,233,6.7,0,0,42,1.2,3150,90.1,366,10.5,314,9,325,9.3,319,9.1,327,9.4,351,10,286,8.2,278,8,0,0,0,0,0,0,0,0,0,0,0,0,349,10,581,16.6,3171,90.7,4,0.1,2118,60.6,346,9.9,0,0,2578,73.7,37,13.4,-3,-3,276,133,48.2,-1,-1,276,7.9,75,27.2,10,0.3,0,0,39,1.1
'057814,11,0.7,2033,97.6,.,.,.,.,0,0,13.7,7,71.900000000000006,.,.,.,.,.,.,0,0,0,63.2,.,9,1.8,505,1,0.2,95,18.8,224,44.4,0,0,0,0,505,100,0,0,0,0,0,0,1,0.2,1,0.2,10,2,38,7.5,74,14.7,257,50.9,82,16.2,37,7.3,5,1,0,0,0,0,0,0,0,0,239,47.3,4,0.8,102,20.2,0,0,0,0,505,100,-1,-1,53,52.5,101,45,44.6,0,0,101,20,-1,-1,1,0.2,52,10.3,36,7.1
'057816,8,3.3,300,19.3,0,0.6,0,0,0.7,0,0,0,.,1,0,0,0,0,0,0,0,0,.,0,28,1.3,2084,1,0,10,0.5,1951,93.6,0,0,23,1.1,1318,63.2,178,8.5,171,8.2,154,7.4,155,7.4,151,7.2,151,7.2,99,4.8,88,4.2,0,0,0,0,0,0,0,0,0,0,0,0,209,10,728,34.9,89,4.3,4,0.2,10,0.5,766,36.8,2,0.1,256,12.3,7,7.1,15,15.2,99,42,42.4,0,0,99,4.8,35,35.4,30,1.4,0,0,7,0.3
'057819,0,0,16,9.6,0,5,0,0,7.1,0,0,0,0,0,0,0,.,0,.,.,0,0,.,0,0,0,195,1,0.5,128,65.6,36,18.5,0,0,0,0,187,95.9,18,9.2,31,15.9,18,9.2,14,7.2,25,12.8,10,5.1,7,3.6,9,4.6,10,5.1,3,1.5,5,2.6,5,2.6,0,0,0,0,27,13.8,13,6.7,145,74.4,0,0,128,65.6,8,4.1,0,0,131,67.2,0,0,-1,-1,15,-3,-3,0,0,15,7.7,7,46.7,4,2.1,18,9.2,9,4.6
'057827,0,0,63,13.3,2.9,0,1.9,0,0,0,0,2.1,.,0,0,0,0,0,0,0,0,0,.,.,20,3.2,616,0,0,203,33,244,39.6,0,0,3,0.5,547,88.8,51,8.3,45,7.3,63,10.2,64,10.4,58,9.4,87,14.1,72,11.7,57,9.3,0,0,0,0,0,0,0,0,0,0,0,0,64,10.4,55,8.9,351,57,0,0,208,33.8,69,11.2,0,0,422,68.5,-1,-1,-1,-1,22,16,72.7,0,0,22,3.6,-1,-1,5,0.8,81,13.1,16,2.6
'057828,6,0.2,1997,79.1,.,.,.,.,.,.,.,.,64.400000000000006,.,.,.,.,.,.,.,.,.,69.8,.,123,9.4,1314,21,1.6,155,11.8,322,24.5,0,0,48,3.7,712,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,20.3,251,19.1,536,40.8,260,19.8,0,0,0,0,0,0,0,0,551,41.9,9,0.7,167,12.7,602,45.8,5,0.4,1287,97.9,-3,-3,56,38.4,146,80,54.8,0,0,146,11.1,-1,-1,55,4.2,1193,90.8,351,26.7
