DISTRICT,DAUND18C,DAUND18R,DPEMALLC,DPEMALLP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRA9R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSA9R,DPERSAKR,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSAUC,DPETSAUP,DPETSBHC,DPETSBHP,DPETSIMC,DPETSINC,DPETSINP,DPETSNOC,DPETSNOP,DPETSPEC,DPETSPEP,DPETSPHC,DPETSPHP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP
'139909,0,0,591,16.9,2.1,0,0,0,0,0,0.4,0.9,12.4,1.9,8.9,0,0,0,0,0,0,0,11.9,0,198,5.2,3810,30,0.8,382,10,1205,31.6,111,2.7,48,1.3,2968,77.9,328,8.6,286,7.5,268,7,287,7.5,293,7.7,296,7.8,277,7.3,266,7,274,7.2,215,5.6,216,5.7,176,4.6,6,0.2,423,11.1,285,7.5,337,8.8,899,23.6,35,0.9,412,10.8,842,22.1,1,0,1994,52.3,40,8.3,73,15.1,482,216,44.8,5,1,482,12.7,148,30.7,270,7.1,877,23,1370,36
'139911,1,0.1,289,11.6,4.3,0.7,1.9,0,0.6,0,0.6,0,5.0999999999999996,10.9,24.1,0,3.2,0,0,0,3,0,0,15.4,312,12.7,2456,26,1.1,73,3,107,4.4,42,1.5,204,8.3,1254,51.1,155,6.3,163,6.6,185,7.5,183,7.5,188,7.7,209,8.5,171,7,205,8.3,206,8.4,196,8,179,7.3,181,7.4,5,0.2,238,9.7,186,7.6,44,1.8,259,10.5,54,2.2,74,3,1202,48.9,3,0.1,1103,44.9,31,9.1,53,15.5,342,160,46.8,0,0,342,13.9,98,28.7,105,4.3,684,27.9,1902,77.4
'139912,0,0,128,11.9,5.3,2.5,0,0,0,0,0,1.3,0,5,11.1,0,0,0,0,0,0,0,0,10,110,9.6,1146,0,0,30,2.6,5,0.4,17,1.4,98,8.6,609,53.1,92,8,77,6.7,89,7.8,70,6.1,87,7.6,85,7.4,89,7.8,88,7.7,78,6.8,74,6.5,88,7.7,79,6.9,2,0.2,87,7.6,92,8,56,4.9,98,8.6,12,1,30,2.6,537,46.9,0,0,357,31.2,19,19.2,10,10.1,99,34,34.3,0,0,99,8.6,36,36.4,36,3.1,346,30.2,995,86.8
'140901,0,0,13,9,21.4,9.1,10,11.1,11.1,0,0,0,0,12.5,.,0,.,.,0,0,0,0,0,0,1,0.7,142,0,0,68,47.9,6,4.2,0,0,1,0.7,116,81.7,17,12,10,7,9,6.3,9,6.3,7,4.9,10,7,9,6.3,10,7,9,6.3,8,5.6,9,6.3,14,9.9,0,0,2,1.4,12,8.5,9,6.3,126,88.7,0,0,69,48.6,26,18.3,0,0,97,68.3,-1,-1,0,0,16,11,68.8,0,0,16,11.3,-1,-1,1,0.7,50,35.2,9,6.3
'140904,4,0.7,167,13.1,11.6,5.4,0,0,0,0,0,1.2,7.3,0,22.2,16.7,0,0,0,0,0,0,0,0,42,3.1,1350,4,0.3,89,6.6,84,6.2,54,3.7,33,2.4,1023,75.8,104,7.7,101,7.5,106,7.9,95,7,102,7.6,96,7.1,113,8.4,93,6.9,98,7.3,98,7.3,95,7,81,6,2,0.1,39,2.9,86,6.4,80,5.9,981,72.7,3,0.2,89,6.6,327,24.2,0,0,559,41.4,-3,-3,24,16.7,144,65,45.1,-1,-1,144,10.7,38,26.4,17,1.3,378,28,261,19.3
'140905,0,0,51,8.9,3.6,6.5,0,8.8000000000000007,2.8,0,0,0,0,5.6,.,0,0,.,0,0,0,0,0,0,51,8.7,586,0,0,97,16.6,5,0.9,4,0.6,11,1.9,440,75.1,42,7.2,31,5.3,44,7.5,62,10.6,35,6,35,6,49,8.4,44,7.5,39,6.7,54,9.2,51,8.7,47,8,0,0,36,6.1,41,7,12,2,452,77.1,0,0,97,16.6,146,24.9,1,0.2,264,45.1,-1,-1,6,12,50,35,70,-1,-1,50,8.5,5,10,0,0,211,36,128,21.8
'140907,0,0,47,13.7,3.8,0,3.7,0,0,0,0,4.5,7.7,0,0,0,0,0,0,0,0,0,0,0,20,5.7,351,0,0,58,16.5,4,1.1,0,0,3,0.9,249,70.9,26,7.4,26,7.4,21,6,31,8.8,30,8.5,29,8.3,36,10.3,24,6.8,28,8,18,5.1,18,5.1,21,6,0,0,19,5.4,24,6.8,19,5.4,245,69.8,0,0,58,16.5,102,29.1,0,0,192,54.7,-1,-1,8,15.7,51,32,62.7,-1,-1,51,14.5,8,15.7,0,0,108,30.8,102,29.1
'140908,0,0,30,7.1,7.3,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3.6,475,0,0,35,7.4,3,0.6,0,0,22,4.6,252,53.1,38,8,43,9.1,42,8.8,37,7.8,41,8.6,35,7.4,32,6.7,32,6.7,29,6.1,28,5.9,38,8,23,4.8,0,0,32,6.7,33,6.9,24,5.1,261,54.9,1,0.2,35,7.4,223,46.9,0,0,191,40.2,-1,-1,-1,-1,46,31,67.4,-1,-1,46,9.7,10,21.7,4,0.8,147,30.9,206,43.4
'141901,1,0.1,418,12.9,3,0.5,0,0.8,0.5,0,0,0,0.5,4.4000000000000004,6.5,0,0,0,0,0,0,0,0,11.6,367,11,3337,27,0.8,117,3.5,83,2.5,60,1.7,238,7.1,1730,51.8,257,7.7,242,7.3,252,7.6,247,7.4,291,8.7,246,7.4,250,7.5,265,7.9,244,7.3,262,7.9,244,7.3,240,7.2,5,0.1,286,8.6,226,6.8,66,2,884,26.5,22,0.7,121,3.6,1607,48.2,29,0.9,1510,45.3,52,12.1,88,20.4,431,216,50.1,15,3.5,431,12.9,60,13.9,164,4.9,975,29.2,2128,63.8
'141902,0,0,62,23.8,0,8.3000000000000007,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,.,0,0,20,39,13.5,289,3,1,39,13.5,2,0.7,0,0,31,10.7,228,78.9,20,6.9,19,6.6,27,9.3,16,5.5,23,8,21,7.3,21,7.3,15,5.2,25,8.7,15,5.2,16,5.5,18,6.2,0,0,5,1.7,19,6.6,34,11.8,162,56.1,3,1,39,13.5,61,21.1,0,0,130,45,-1,-1,7,16.3,43,20,46.5,-1,-1,43,14.9,12,27.9,2,0.7,74,25.6,117,40.5
